chr	start_pos	end_pos	V4
chr1	1	3000000	1.3091
chr1	3000001	6000000	2.03362
chr1	6000001	9000000	1.34508
chr1	9000001	12000000	1.3333
chr1	12000001	15000000	1.20281
chr1	15000001	18000000	1.76943
chr1	18000001	21000000	2.00165
chr1	21000001	24000000	1.45206
chr1	24000001	27000000	1.35524
chr1	27000001	30000000	1.07312
chr1	30000001	33000000	1.71097
chr1	33000001	36000000	1.48431
chr1	36000001	39000000	1.63942
chr1	39000001	42000000	1.18681
chr1	42000001	45000000	1.6212
chr1	45000001	48000000	1.23917
chr1	48000001	51000000	1.40678
chr1	51000001	54000000	0.881499
chr1	54000001	57000000	1.51525
chr1	57000001	60000000	1.38728
chr1	60000001	63000000	0.934706
chr1	63000001	66000000	0.910119
chr1	66000001	69000000	0.8986
chr1	69000001	72000000	0.686302
chr1	72000001	75000000	0.467484
chr1	75000001	78000000	0.837409
chr1	78000001	81000000	0.586573
chr1	81000001	84000000	0.595272
chr1	84000001	87000000	0.87768
chr1	87000001	90000000	0.869266
chr1	90000001	93000000	0.902225
chr1	93000001	96000000	0.998963
chr1	96000001	99000000	0.626732
chr1	99000001	102000000	0.75313
chr1	102000001	105000000	0.405497
chr1	105000001	108000000	0.465641
chr1	108000001	111000000	1.21313
chr1	111000001	114000000	1.29948
chr1	114000001	117000000	1.15651
chr1	117000001	120000000	1.17939
chr1	120000001	123000000	0.694563
chr1	123000001	126000000	4.22994e-07
chr1	126000001	129000000	4.30819e-07
chr1	129000001	132000000	4.30819e-07
chr1	132000001	135000000	4.30819e-07
chr1	135000001	138000000	4.30819e-07
chr1	138000001	141000000	4.30819e-07
chr1	141000001	144000000	0.858404
chr1	144000001	147000000	1.14627
chr1	147000001	150000000	1.12749
chr1	150000001	153000000	1.10535
chr1	153000001	156000000	1.37123
chr1	156000001	159000000	1.4842
chr1	159000001	162000000	1.54415
chr1	162000001	165000000	0.998705
chr1	165000001	168000000	1.24342
chr1	168000001	171000000	0.954269
chr1	171000001	174000000	0.862172
chr1	174000001	177000000	1.18047
chr1	177000001	180000000	1.05751
chr1	180000001	183000000	1.2918
chr1	183000001	186000000	0.998048
chr1	186000001	189000000	0.531595
chr1	189000001	192000000	0.343843
chr1	192000001	195000000	0.516386
chr1	195000001	198000000	0.453175
chr1	198000001	201000000	0.749065
chr1	201000001	204000000	1.76279
chr1	204000001	207000000	1.63401
chr1	207000001	210000000	1.47069
chr1	210000001	213000000	1.11096
chr1	213000001	216000000	1.00867
chr1	216000001	219000000	0.722524
chr1	219000001	222000000	0.931383
chr1	222000001	225000000	1.16448
chr1	225000001	228000000	1.06651
chr1	228000001	231000000	1.54894
chr1	231000001	234000000	1.14926
chr1	234000001	237000000	1.11736
chr1	237000001	240000000	0.75883
chr1	240000001	243000000	0.877509
chr1	243000001	246000000	1.06373
chr1	246000001	249000000	0.901192
chr1	249000001	252000000	0.0723404
chr2	1	3000000	1.51716
chr2	3000001	6000000	1.10465
chr2	6000001	9000000	1.22267
chr2	9000001	12000000	1.51501
chr2	12000001	15000000	0.932005
chr2	15000001	18000000	1.18951
chr2	18000001	21000000	1.26796
chr2	21000001	24000000	1.11472
chr2	24000001	27000000	1.05978
chr2	27000001	30000000	1.28155
chr2	30000001	33000000	1.13885
chr2	33000001	36000000	0.727798
chr2	36000001	39000000	0.99749
chr2	39000001	42000000	0.731181
chr2	42000001	45000000	1.03492
chr2	45000001	48000000	1.47961
chr2	48000001	51000000	0.822963
chr2	51000001	54000000	0.615318
chr2	54000001	57000000	0.814478
chr2	57000001	60000000	0.68074
chr2	60000001	63000000	0.957808
chr2	63000001	66000000	1.00127
chr2	66000001	69000000	0.993248
chr2	69000001	72000000	1.40222
chr2	72000001	75000000	1.39265
chr2	75000001	78000000	0.795046
chr2	78000001	81000000	0.753801
chr2	81000001	84000000	0.476976
chr2	84000001	87000000	1.17547
chr2	87000001	90000000	1.02163
chr2	90000001	93000000	0.986537
chr2	93000001	96000000	0.313896
chr2	96000001	99000000	1.27744
chr2	99000001	102000000	1.17163
chr2	102000001	105000000	0.963647
chr2	105000001	108000000	1.15353
chr2	108000001	111000000	1.01705
chr2	111000001	114000000	1.33801
chr2	114000001	117000000	0.873969
chr2	117000001	120000000	1.1667
chr2	120000001	123000000	1.56646
chr2	123000001	126000000	0.800746
chr2	126000001	129000000	1.03957
chr2	129000001	132000000	1.31652
chr2	132000001	135000000	1.29617
chr2	135000001	138000000	1.05415
chr2	138000001	141000000	0.683281
chr2	141000001	144000000	0.49039
chr2	144000001	147000000	0.668493
chr2	147000001	150000000	0.786048
chr2	150000001	153000000	0.805436
chr2	153000001	156000000	0.64609
chr2	156000001	159000000	0.697329
chr2	159000001	162000000	0.922498
chr2	162000001	165000000	0.603976
chr2	165000001	168000000	0.558639
chr2	168000001	171000000	0.787353
chr2	171000001	174000000	0.905514
chr2	174000001	177000000	0.978685
chr2	177000001	180000000	0.812871
chr2	180000001	183000000	0.693292
chr2	183000001	186000000	0.5544
chr2	186000001	189000000	0.496127
chr2	189000001	192000000	0.607441
chr2	192000001	195000000	0.521494
chr2	195000001	198000000	0.595529
chr2	198000001	201000000	0.744874
chr2	201000001	204000000	0.779194
chr2	204000001	207000000	0.951051
chr2	207000001	210000000	0.872429
chr2	210000001	213000000	0.558086
chr2	213000001	216000000	0.581318
chr2	216000001	219000000	1.46605
chr2	219000001	222000000	1.23858
chr2	222000001	225000000	0.928426
chr2	225000001	228000000	0.830445
chr2	228000001	231000000	0.894701
chr2	231000001	234000000	1.28245
chr2	234000001	237000000	1.52999
chr2	237000001	240000000	1.54575
chr2	240000001	243000000	1.79495
chr2	243000001	246000000	0.0511781
chr3	1	3000000	0.663589
chr3	3000001	6000000	1.05179
chr3	6000001	9000000	1.00797
chr3	9000001	12000000	1.68233
chr3	12000001	15000000	1.76461
chr3	15000001	18000000	1.08268
chr3	18000001	21000000	0.736608
chr3	21000001	24000000	0.713441
chr3	24000001	27000000	0.955713
chr3	27000001	30000000	0.721793
chr3	30000001	33000000	0.975461
chr3	33000001	36000000	0.833583
chr3	36000001	39000000	1.28129
chr3	39000001	42000000	1.11525
chr3	42000001	45000000	1.338
chr3	45000001	48000000	1.27821
chr3	48000001	51000000	1.23935
chr3	51000001	54000000	1.2914
chr3	54000001	57000000	1.2393
chr3	57000001	60000000	1.11406
chr3	60000001	63000000	0.963775
chr3	63000001	66000000	1.13718
chr3	66000001	69000000	0.958981
chr3	69000001	72000000	0.941092
chr3	72000001	75000000	1.09556
chr3	75000001	78000000	0.850797
chr3	78000001	81000000	0.477665
chr3	81000001	84000000	0.445106
chr3	84000001	87000000	0.404345
chr3	87000001	90000000	0.544912
chr3	90000001	93000000	0.12837
chr3	93000001	96000000	0.440665
chr3	96000001	99000000	0.619318
chr3	99000001	102000000	0.843658
chr3	102000001	105000000	0.498107
chr3	105000001	108000000	0.690544
chr3	108000001	111000000	0.717129
chr3	111000001	114000000	0.983519
chr3	114000001	117000000	0.794763
chr3	117000001	120000000	0.9234
chr3	120000001	123000000	1.00607
chr3	123000001	126000000	1.37078
chr3	126000001	129000000	1.67536
chr3	129000001	132000000	1.11992
chr3	132000001	135000000	1.35035
chr3	135000001	138000000	1.03169
chr3	138000001	141000000	1.27154
chr3	141000001	144000000	0.897129
chr3	144000001	147000000	0.504934
