chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY
original	249250621	243199373	198022430	191154276	180915260	171115067	159138663	146364022	141213431	135534747	135006516	133851895	115169878	107349540	102531392	90354753	81195210	78077248	59128983	63025520	48129895	51304566	155270560	59373566
5Mb	2.5e+08	2.45e+08	2e+08	1.95e+08	1.85e+08	1.75e+08	1.6e+08	1.5e+08	1.45e+08	1.4e+08	1.4e+08	1.35e+08	1.2e+08	1.1e+08	1.05e+08	9.5e+07	8.5e+07	8e+07	6e+07	6.5e+07	5e+07	5.5e+07	1.6e+08	6e+07
3Mb	2.52e+08	2.46e+08	2.01e+08	1.92e+08	1.83e+08	1.74e+08	1.62e+08	1.47e+08	1.44e+08	1.38e+08	1.38e+08	1.35e+08	1.17e+08	1.08e+08	1.05e+08	9.3e+07	8.4e+07	8.1e+07	6e+07	6.6e+07	5.1e+07	5.4e+07	1.56e+08	6e+07
Mb	2.5e+08	2.44e+08	1.99e+08	1.92e+08	1.81e+08	1.72e+08	1.6e+08	1.47e+08	1.42e+08	1.36e+08	1.36e+08	1.34e+08	1.16e+08	1.08e+08	1.03e+08	9.1e+07	8.2e+07	7.9e+07	6e+07	6.4e+07	4.9e+07	5.2e+07	1.56e+08	6e+07
500kb	249500000	243500000	198500000	191500000	1.81e+08	171500000	159500000	146500000	141500000	1.36e+08	135500000	1.34e+08	115500000	107500000	1.03e+08	90500000	81500000	78500000	59500000	63500000	48500000	51500000	155500000	59500000
200kb	249300000	243200000	198050000	191200000	180950000	171150000	159150000	146400000	141250000	135550000	135050000	133900000	115200000	107350000	102550000	90400000	81200000	78100000	59150000	63050000	48150000	51350000	155300000	59400000
50kb	249400000	243200000	198200000	191200000	1.81e+08	171200000	159200000	146400000	141400000	135600000	135200000	1.34e+08	115200000	107400000	102600000	90400000	81200000	78200000	59200000	63200000	48200000	51400000	155400000	59400000
10kb	249260000	243200000	198030000	191160000	180920000	171120000	159140000	146370000	141220000	135540000	135010000	133860000	115170000	107350000	102540000	90360000	81200000	78080000	59130000	63030000	48130000	51310000	155280000	59380000
kb	249251000	243200000	198023000	191155000	180916000	171116000	159139000	146365000	141214000	135535000	135007000	133852000	115170000	107350000	102532000	90355000	81196000	78078000	59129000	63026000	48130000	51305000	155271000	59374000
500bp	249251000	243199500	198022500	191154500	180915500	171115500	159139000	146364500	141213500	135535000	135007000	133852000	115170000	107350000	102531500	90355000	81195500	78077500	59129000	63026000	48130000	51305000	155271000	59374000
